muestra;valor
1;34856
2;34866
3;34884
4;34895
5;34913
6;34935
7;34948
8;34960
9;34986
10;35000
11;35013
12;35021
13;34978
14;34858
15;34780
16;34747
17;34722
18;34711
19;34714
20;34721
21;34734
22;34755
23;34762
24;34776
25;34792
26;34811
27;34814
28;34814
29;34806
30;34804
31;34799
32;34800
33;34807
34;34818
35;34825
36;34838
37;34846
38;34866
39;34879
40;34893
41;34907
42;34927
43;34952
44;34972
45;34990
46;35003
47;34976
48;34865
49;34773
50;34722
51;34691
52;34681
53;34673
54;34678
55;34697
56;34706
57;34711
58;34720
59;34737
60;34750
61;34764
62;34771
63;34770
64;34776
65;34770
66;34765
67;34766
68;34770
69;34777
70;34787
71;34799
72;34816
73;34838
74;34852
75;34863
76;34879
77;34896
78;34920
79;34945
80;34957
81;34970
82;34947
83;34852
84;34753
85;34702
86;34672
87;34652
88;34645
89;34645
90;34664
91;34672
92;34682
93;34690
94;34697
95;34708
96;34727
97;34741
98;34741
99;34737
100;34732
101;34730
102;34729
103;34735
104;34749
105;34758
106;34769
107;34786
108;34807
109;34820
110;34831
111;34847
112;34870
113;34886
114;34899
115;34914
116;34930
117;34954
118;34969
119;34946
120;34841
121;34738
122;34683
123;34649
124;34636
125;34641
126;34646
127;34660
128;34676
129;34688
130;34693
131;34704
132;34721
133;34738
134;34744
135;34739
136;34737
137;34735
138;34731
139;34736
140;34738
141;34747
142;34762
143;34777
144;34789
145;34799
146;34821
147;34836
148;34847
149;34868
150;34884
151;34898
152;34913
153;34925
154;34917
155;34852
156;34743
157;34687
158;34644
159;34629
160;34626
161;34629
162;34638
163;34662
164;34671
165;34683
166;34689
167;34713
168;34730
169;34732
170;34732
171;34730
172;34723
173;34716
174;34722
175;34737
176;34743
177;34751
178;34769
179;34786
180;34800
181;34813
182;34828
183;34849
184;34871
185;34887
186;34904
187;34929
188;34941
189;34936
190;34871
191;34746
192;34674
193;34634
194;34616
195;34611
196;34614
197;34617
198;34630
199;34645
200;34654
201;34654
202;34674
203;34685
204;34696
205;34701
206;34710
207;34706
208;34697
209;34697
210;34705
211;34713
212;34719
213;34730
214;34746
215;34763
216;34784
217;34800
218;34816
219;34834
220;34851
221;34870
222;34888
223;34910
224;34926
225;34905
226;34805
227;34698
228;34644
229;34617
230;34599
231;34596
232;34608
233;34615
234;34626
235;34629
236;34641
237;34648
238;34660
239;34676
240;34696
241;34704
242;34703
243;34696
244;34692
245;34699
246;34696
247;34708
248;34724
249;34735
250;34749
251;34769
252;34789
253;34803
254;34822
255;34834
256;34856
257;34871
258;34887
259;34914
260;34927
261;34933
262;34889
263;34766
264;34672
265;34633
266;34607
267;34598
268;34604
269;34619
270;34631
271;34639
272;34650
273;34662
274;34673
275;34692
276;34701
277;34708
278;34719
279;34715
280;34711
281;34703
282;34707
283;34718
284;34727
285;34734
286;34755
287;34772
288;34789
289;34803
290;34816
291;34837
292;34856
293;34876
294;34892
295;34917
296;34928
297;34938
298;34923
299;34814
300;34697
