muestra;valor
92;8154
93;8154
94;8154
95;8154
96;8155
97;8157
98;8159
99;8159
100;8159
101;8159
102;8160
103;8161
104;8161
105;8160
106;8161
107;8163
108;8165
109;8167
110;8166
111;8164
112;8164
113;8165
114;8166
115;8167
116;8167
117;8168
118;8169
119;8171
120;8172
121;8173
122;8175
123;8178
124;8180
125;8180
126;8178
127;8176
128;8176
129;8178
130;8180
131;8183
132;8185
133;8187
134;8187
135;8187
136;8190
137;8194
138;8197
139;8197
140;8195
141;8196
142;8197
143;8200
144;8203
145;8204
146;8204
147;8206
148;8209
149;8211
150;8211
151;8214
152;8215
153;8216
154;8219
155;8224
156;8228
157;8230
158;8232
159;8235
160;8237
161;8238
162;8241
163;8244
164;8246
165;8247
166;8248
167;8250
168;8253
169;8255
170;8255
171;8256
172;8256
173;8257
174;8257
175;8253
176;8249
177;8247
178;8244
179;8242
180;8241
181;8241
182;8241
183;8241
184;8240
185;8237
186;8232
187;8228
188;8226
189;8222
190;8219
191;8216
192;8212
193;8207
194;8204
195;8202
196;8198
197;8194
198;8190
199;8187
200;8184
201;8180
202;8177
203;8176
204;8176
205;8175
206;8173
207;8170
208;8167
209;8164
210;8165
211;8166
212;8167
213;8165
214;8160
215;8156
216;8156
217;8155
218;8153
219;8152
220;8152
221;8151
222;8149
223;8150
224;8151
225;8151
226;8151
227;8151
228;8153
229;8156
230;8159
231;8160
232;8159
233;8156
234;8154
235;8155
236;8155
237;8156
238;8157
239;8158
240;8160
241;8162
242;8161
243;8159
244;8159
245;8163
246;8167
247;8166
248;8162
249;8160
250;8162
251;8163
252;8163
253;8162
254;8161
255;8161
256;8161
257;8162
258;8163
259;8163
260;8164
261;8166
262;8167
263;8165
264;8163
265;8163
266;8163
267;8163
268;8162
269;8161
270;8163
271;8167
272;8168
273;8167
274;8165
275;8162
276;8162
277;8163
278;8164
279;8166
280;8166
281;8165
282;8165
283;8163
284;8164
285;8166
286;8167
287;8168
288;8168
289;8167
290;8164
291;8163
292;8164
293;8165
294;8166
295;8168
296;8169
297;8169
298;8167
299;8167
300;8166
301;8167
302;8167
303;8165
304;8163
305;8163
306;8164
307;8165
308;8166
309;8167
310;8167
311;8165
312;8163
313;8163
314;8162
315;8163
316;8166
317;8169
318;8167
319;8165
320;8166
321;8167
322;8167
323;8168
324;8169
325;8169
326;8166
327;8165
328;8167
329;8168
330;8169
331;8169
332;8170
333;8170
334;8169
335;8167
336;8166
337;8168
338;8170
339;8169
340;8166
341;8166
342;8165
343;8164
344;8166
345;8170
346;8171
347;8170
348;8171
349;8171
350;8169
351;8168
352;8168
353;8168
354;8167
355;8167
356;8168
357;8169
358;8171
359;8174
360;8174
361;8174
362;8173
363;8172
364;8171
365;8170
366;8172
367;8174
368;8177
369;8182
370;8186
371;8185
372;8181
373;8178
374;8179
375;8182
376;8186
377;8185
378;8183
379;8186
380;8188
381;8189
382;8190
383;8194
384;8195
385;8194
386;8190
387;8188
388;8187
389;8185
390;8185
391;8184
392;8182
393;8179
394;8176
395;8175
396;8176
397;8177
398;8178
399;8178
400;8179
401;8180
402;8180
403;8177
404;8173
405;8172
406;8173
407;8174
408;8174
409;8173
410;8173
411;8174
412;8174
413;8173
414;8173
415;8173
416;8174
417;8175
418;8175
419;8176
420;8177
421;8177
422;8177
423;8178
424;8179
425;8180
426;8180
427;8180
428;8182
429;8184
430;8184
431;8184
432;8190
433;8201
434;8217
435;8233
436;8254
437;8284
438;8322
439;8364
440;8405
441;8446
442;8489
443;8532
444;8570
445;8601
446;8625
